"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","D-2","PA14","PAO1","SF416"
"QLX61_RS09250","","","4","4","1","1","5151","","","","329","329","329","NNL25_RS09225","PA14_23480","PA3140","QLX61_RS09250"
"ruvB","","","4","4","1","1","777","","","","1058","1058","1058","NNL25_RS21155","PA14_51780","PA0967","QLX61_RS21090"
"atpD","","","4","4","1","1","1401","","","","1376","1376","1376","NNL25_RS29455","PA14_73240","PA5554","QLX61_RS29450"
"argF","","","4","4","1","1","5610","","","","917","917","917","NNL25_RS07285","PA14_18610","PA3537","QLX61_RS07295"
"sucD","","","4","4","1","1","2742","","","","887","887","887","NNL25_RS17740","PA14_43940","PA1589","QLX61_RS17970"
"rpsJ","","","4","4","1","1","6395","","","","311","311","311","NNL25_RS03595","PA14_08840","PA4264","QLX61_RS03580"
"QLX61_RS07730","","","4","4","1","1","5523","","","","389","389","389","NNL25_RS07710","PA14_19680","PA3432","QLX61_RS07730"
"katA","","","4","4","1","1","6367","","","","1448","1448","1448","NNL25_RS03735","PA14_09150","PA4236","QLX61_RS03720"
"erpA","","","4","4","1","1","6420","","","","350","350","350","NNL25_RS03450","PA14_08510","PA0665","QLX61_RS03435"
"group_2698","cyoE","","4","4","1","1","1079","","","","914","914","914","NNL25_RS00595","PA14_01380","PA0113","QLX61_RS00685"
"sdhC","","","4","4","1","1","2750","","","","386","386","386","NNL25_RS17780","PA14_44060","PA1581","QLX61_RS18010"
"NNL25_RS09250","","","4","4","1","1","5145","","","","1034","1067","1050","NNL25_RS09250","PA14_23530","PA3136","QLX61_RS09275"
"pilI","","","4","4","1","1","6716","","","","536","536","536","NNL25_RS02040","PA14_05340","PA0410","QLX61_RS02170"
"PA14_03860","","","4","4","1","1","6835","","","","1376","1376","1376","NNL25_RS01445","PA14_03860","PA0296","QLX61_RS01575"
"PA1465","","","4","4","1","1","2890","","","","407","407","407","NNL25_RS18380","PA14_45480","PA1465","QLX61_RS19030"
"PA14_53920","","","4","4","1","1","3285","","","","722","722","722","NNL25_RS22050","PA14_53920","PA0797","QLX61_RS21995"
"ftsE","","","4","4","1","1","6753","","","","671","671","671","NNL25_RS01855","PA14_04910","PA0374","QLX61_RS01985"
"tusA","","","4","4","1","1","2769","","","","239","239","239","NNL25_RS17875","PA14_44270","PA1564","QLX61_RS18105"
"ftsW","","","4","4","1","1","3709","","","","1199","1199","1199","NNL25_RS23430","PA14_57360","PA4413","QLX61_RS23350"
"QLX61_RS24410","","","4","4","1","1","3461","","","","776","776","776","NNL25_RS24485","PA14_61060","PA4615","QLX61_RS24410"
"PA14_11310","","","4","4","1","1","6194","","","","704","704","704","NNL25_RS04610","PA14_11310","PA4064","QLX61_RS04595"
"PA14_00630","","","4","4","1","1","1015","","","","140","140","140","NNL25_RS00280","PA14_00630","PA0050","QLX61_RS00370"
"iscA","","","4","4","1","1","5922","","","","323","323","323","NNL25_RS05880","PA14_14750","PA3812","QLX61_RS05875"
"PA4069","","","4","4","1","1","6200","","","","884","884","884","NNL25_RS04580","PA14_11250","PA4069","QLX61_RS04565"
"QLX61_RS22705","","","4","4","1","1","3837","","","","890","890","890","NNL25_RS22785","PA14_55720","PA4287","QLX61_RS22705"
"QLX61_RS07765","","","4","4","1","1","5516","","","","344","344","344","NNL25_RS07745","PA14_19750","PA3425","QLX61_RS07765"
"infA","","","4","4","1","1","4538","","","","218","218","218","NNL25_RS12025","PA14_30240","PA2619","QLX61_RS12395"
"PA14_02650","","","4","4","1","1","1185","","","","929","929","929","NNL25_RS01080","PA14_02650","PA0217","QLX61_RS01170"
"bcp","","","4","4","1","1","876","","","","473","473","473","NNL25_RS20785","PA14_51290","PA1008","QLX61_RS20895"
"NNL25_RS04935","","","4","4","1","1","6128","","","","281","281","281","NNL25_RS04935","PA14_12110","PA3998","QLX61_RS04920"
"liuB","","","4","4","1","1","333","","","","1607","1607","1607","NNL25_RS15565","PA14_38460","PA2014","QLX61_RS15785"
"QLX61_RS01530","","","4","4","1","1","6844","","","","1385","1385","1385","NNL25_RS01400","PA14_03760","PA0287","QLX61_RS01530"
"aroC","","","4","4","1","1","2649","","","","1091","1091","1091","NNL25_RS17270","PA14_42760","PA1681","QLX61_RS17500"
"dapA","","","4","4","1","1","874","","","","878","878","878","NNL25_RS20775","PA14_51270","PA1010","QLX61_RS20885"
"group_2722","tssJ","","4","4","1","1","1045","","","","464","464","464","NNL25_RS00430","PA14_00960","PA0080","QLX61_RS00520"
"fur","","","4","4","1","1","2230","","","","404","404","404","NNL25_RS25390","PA14_63020","PA4764","QLX61_RS25240"
"PA14_06090","","","4","4","1","1","6659","","","","302","302","302","NNL25_RS02310","PA14_06090","PA0466","QLX61_RS02450"
"phoP","","","4","4","1","1","2480","","","","677","677","677","NNL25_RS19835","PA14_49180","PA1179","QLX61_RS19995"
"rpmE2","","","4","4","1","1","5677","","","","263","263","263","NNL25_RS06955","PA14_17700","PA3601","QLX61_RS06970"
"osmC","","","4","4","1","1","1024","","","","455","455","455","NNL25_RS00325","PA14_00710","PA0059","QLX61_RS00415"
"argB","","","4","4","1","1","1645","","","","905","905","905","NNL25_RS28270","PA14_70280","PA5323","QLX61_RS28225"
"PA3967","","","4","4","1","1","6097","","","","392","392","392","NNL25_RS05090","PA14_12550","PA3967","QLX61_RS05075"
"PA3119","","","4","4","1","1","5126","","","","563","761","662","NNL25_RS09345","PA14_23770","PA3119","QLX61_RS09380"
"gltA","","","4","4","1","1","2751","","","","1286","1286","1286","NNL25_RS17785","PA14_44070","PA1580","QLX61_RS18015"
"rpmA","","","4","4","1","1","3511","","","","257","257","257","NNL25_RS24230","PA14_60450","PA4567","QLX61_RS24155"
"PA0069","","","4","4","1","1","1034","","","","1058","1058","1058","NNL25_RS00375","PA14_00810","PA0069","QLX61_RS00465"
"rplU","","","4","4","1","1","3510","","","","311","311","311","NNL25_RS24235","PA14_60460","PA4568","QLX61_RS24160"
"QLX61_RS10190","","","4","4","1","1","4958","","","","776","776","776","NNL25_RS10155","PA14_25780","PA2959","QLX61_RS10190"
"NNL25_RS00915","","","4","4","1","1","1146","","","","365","365","365","NNL25_RS00915","PA14_02260","PA0179","QLX61_RS01005"
"phzB","","","4","4","1","1","560","","","","488","488","488","NNL25_RS16130","PA14_39960","PA1900","QLX61_RS16360"
"selD","","","4","4","1","1","2689","","","","1034","1034","1034","NNL25_RS17475","PA14_43280","PA1642","QLX61_RS17705"
"QLX61_RS26625","","","4","4","1","1","1949","","","","815","815","815","NNL25_RS26735","PA14_66460","PA5027","QLX61_RS26625"
"NNL25_RS23965","","","4","4","1","1","3600","","","","1163","1163","1163","NNL25_RS23965","PA14_58630","PA4519","QLX61_RS23885"
"PA14_23890","","","4","4","1","1","5117","","","","647","665","659","NNL25_RS09390","PA14_23890","PA3110","QLX61_RS09425"
"PA3196","","","4","4","1","1","5247","","","","530","530","530","NNL25_RS08955","PA14_22870","PA3196","QLX61_RS08995"
"PA4317","","","4","4","1","1","3806","","","","737","737","737","NNL25_RS22940","PA14_56090","PA4317","QLX61_RS22860"
"QLX61_RS09760","","","4","4","1","1","5044","","","","1331","1331","1331","NNL25_RS09725","PA14_24730","PA3043","QLX61_RS09760"
"hemB","","","4","4","1","1","1728","","","","1013","1013","1013","NNL25_RS27860","PA14_69240","PA5243","QLX61_RS27815"
"NNL25_RS15825","","","4","4","1","1","386","","","","266","266","266","NNL25_RS15825","PA14_39140","PA1963","QLX61_RS16050"
"QLX61_RS27360","","","4","4","1","1","1817","","","","470","470","470","NNL25_RS27400","PA14_68110","PA5157","QLX61_RS27360"
"rplC","","","4","4","1","1","6394","","","","635","635","635","NNL25_RS03600","PA14_08850","PA4263","QLX61_RS03585"
"aotJ","","","4","4","1","1","3190","","","","779","779","779","NNL25_RS21580","PA14_52790","PA0888","QLX61_RS21515"
"cobM","","","4","4","1","1","4947","","","","752","752","752","NNL25_RS10210","PA14_25920","PA2948","QLX61_RS10245"
"lptE","","","4","4","1","1","6119","","","","623","623","623","NNL25_RS04980","PA14_12210","PA3988","QLX61_RS04965"
"xcpX","","","4","4","1","1","5104","","","","1001","1001","1001","NNL25_RS09455","PA14_24070","PA3097","QLX61_RS09490"
"NNL25_RS24280","","","4","4","1","1","3500","","","","326","326","326","NNL25_RS24280","PA14_60560","PA4577","QLX61_RS24205"
"phzM","","","4","4","1","1","6339","","","","1004","1004","1004","NNL25_RS03870","PA14_09490","PA4209","QLX61_RS03855"
"nth","","","4","4","1","1","5585","","","","638","638","638","NNL25_RS07410","PA14_18880","PA3495","QLX61_RS07420"
"ssb","","","4","4","1","1","6363","","","","497","497","497","NNL25_RS03755","PA14_09200","PA4232","QLX61_RS03740"
"PA14_15940","","","4","4","1","1","5825","","","","800","800","800","NNL25_RS06220","PA14_15940","PA3747","QLX61_RS06235"
"PA2762","","","4","4","1","1","4740","","","","344","344","344","NNL25_RS11240","PA14_28380","PA2762","QLX61_RS11290"
"ruvA","","","4","4","1","1","776","","","","605","605","605","NNL25_RS21160","PA14_51790","PA0966","QLX61_RS21095"
"NNL25_RS07885","","","4","4","1","1","5488","","","","341","341","341","NNL25_RS07885","PA14_20120","PA3399","QLX61_RS07905"
"lldA","","","4","4","1","1","4208","","","","1151","1151","1151","NNL25_RS13725","PA14_33860","PA2382","QLX61_RS13755"
"PA14_14990","","","4","4","1","1","5905","","","","950","950","950","NNL25_RS05965","PA14_14990","PA3795","QLX61_RS05960"
"algZ","","","4","4","1","1","1708","","","","1076","1076","1076","NNL25_RS27960","PA14_69480","PA5262","QLX61_RS27915"
"purC","","","4","4","1","1","871","","","","710","710","710","NNL25_RS20760","PA14_51240","PA1013","QLX61_RS20870"
"QLX61_RS02760","","","4","4","1","1","6594","","","","878","878","878","NNL25_RS02635","PA14_06880","PA0528","QLX61_RS02760"
"secB","","","4","4","1","1","1849","","","","491","491","491","NNL25_RS27240","PA14_67720","PA5128","QLX61_RS27130"
"PA14_19590","","","4","4","1","1","5533","","","","215","215","215","NNL25_RS07665","PA14_19590","PA3441","QLX61_RS07685"
"folB","","","4","4","1","1","6487","","","","353","353","353","NNL25_RS03125","PA14_07590","PA0582","QLX61_RS03105"
"QLX61_RS17185","","","4","4","1","1","2586","","","","239","239","239","NNL25_RS16955","PA14_42000","PA1743","QLX61_RS17185"
"purU","","","4","4","1","1","3810","","","","851","851","851","NNL25_RS22925","PA14_56060","PA4314","QLX61_RS22845"
"QLX61_RS27140","","","4","4","1","1","1847","","","","419","419","419","NNL25_RS27250","PA14_67750","PA5130","QLX61_RS27140"
"cvpA","","","4","4","1","1","5116","","","","542","542","542","NNL25_RS09395","PA14_23900","PA3109","QLX61_RS09430"
"PA3084","","","4","4","1","1","5086","","","","800","833","816","NNL25_RS09535","PA14_24260","PA3084","QLX61_RS09570"
"lppL","","","4","4","1","1","1693","","","","140","140","140","NNL25_RS28035","PA14_69660","PA5276","QLX61_RS27990"
"hflD","","","4","4","1","1","4546","","","","620","620","620","NNL25_RS11985","PA14_30140","PA2627","QLX61_RS12355"
"apbC","","","4","4","1","1","5574","","","","1094","1094","1094","NNL25_RS07465","PA14_19065","PA3481","QLX61_RS07475"
"PA14_25050","","","4","4","1","1","5016","","","","434","434","434","NNL25_RS09865","PA14_25050","PA3016","QLX61_RS09900"
"group_2774","zapE","","4","4","1","1","3683","","","","1094","1094","1094","NNL25_RS23560","PA14_57650","PA4438","QLX61_RS23480"
"pqqE","","","4","4","1","1","359","","","","1145","1145","1145","NNL25_RS15690","PA14_38780","PA1989","QLX61_RS15915"
"ccoP","","","4","4","1","1","2777","","","","926","926","926","NNL25_RS17920","PA14_44360","PA1555","QLX61_RS18150"
"bkdR","","","4","4","1","1","30","","","","461","461","461","NNL25_RS14410","PA14_35540","PA2246","QLX61_RS14435"
"lolA","","","4","4","1","1","4533","","","","626","626","626","NNL25_RS12050","PA14_30310","PA2614","QLX61_RS12420"
"mdcC","","","4","4","1","1","1178","","","","299","299","299","NNL25_RS01045","PA14_02570","PA0210","QLX61_RS01135"
"PA3069","","","4","4","1","1","5071","","","","617","770","693","NNL25_RS09610","PA14_24440","PA3069","QLX61_RS09645"
"rocR","","","4","4","1","1","6074","","","","1178","1178","1178","NNL25_RS05190","PA14_12810","PA3947","QLX61_RS05205"
"PA1748","","","4","4","1","1","2581","","","","689","689","689","NNL25_RS16930","PA14_41950","PA1748","QLX61_RS17160"
"NNL25_RS07870","","","4","4","1","1","5491","","","","971","971","971","NNL25_RS07870","PA14_20080","PA3402","QLX61_RS07890"
"QLX61_RS03985","","","4","4","1","1","6313","","","","467","467","467","NNL25_RS04000","PA14_09780","PA4183","QLX61_RS03985"
"QLX61_RS25105","","","4","4","1","1","2256","","","","344","344","344","NNL25_RS25255","PA14_62690","PA4739","QLX61_RS25105"
"QLX61_RS20730","","","4","4","1","1","843","","","","620","620","620","NNL25_RS20620","PA14_50920","PA1037","QLX61_RS20730"
"QLX61_RS21560","","","4","4","1","1","3199","","","","1160","1160","1160","NNL25_RS21625","PA14_52900","PA0879","QLX61_RS21560"
"QLX61_RS05185","","","4","4","1","1","6078","","","","503","503","503","NNL25_RS05170","PA14_12750","PA3951","QLX61_RS05185"
"recG","","","4","4","1","1","1623","","","","2075","2075","2075","NNL25_RS28380","PA14_70570","PA5345","QLX61_RS28335"
"oprO","","","4","4","1","1","5359","","","","1316","1316","1316","NNL25_RS08515","PA14_21610","PA3280","QLX61_RS08555"
"NNL25_RS09680","","","4","4","1","1","5054","","","","881","980","955","NNL25_RS09680","PA14_24620","PA3052","QLX61_RS09715"
"PA3726","","","4","4","1","1","5803","","","","539","539","539","NNL25_RS06330","PA14_16210","PA3726","QLX61_RS06345"
"exbD1","","","4","4","1","1","1167","","","","401","401","401","NNL25_RS01020","PA14_02510","PA0199","QLX61_RS01110"
"QLX61_RS18685","","","4","4","1","1","2535","","","","473","473","473","NNL25_RS19195","PA14_47350","PA1305","QLX61_RS18685"
"PA2145","","","4","4","1","1","196","","","","398","398","398","NNL25_RS14910","PA14_36830","PA2145","QLX61_RS15145"
"PA2765","","","4","4","1","1","4745","","","","899","899","899","NNL25_RS11215","PA14_28340","PA2765","QLX61_RS11265"
"NNL25_RS13740","","","4","4","1","1","4205","","","","470","470","470","NNL25_RS13740","PA14_33890","PA2379","QLX61_RS13770"
"NNL25_RS02525","","","4","4","1","1","6616","","","","1805","1805","1805","NNL25_RS02525","PA14_06600","PA0506","QLX61_RS02650"
"PA14_69100","","","4","4","1","1","1738","","","","419","419","419","NNL25_RS27810","PA14_69100","PA5233","QLX61_RS27765"
"cptA","","","4","4","1","1","1843","","","","1310","1310","1310","NNL25_RS27270","PA14_67810","PA5134","QLX61_RS27160"
"amtB","","","4","4","1","1","1682","","","","1328","1328","1328","NNL25_RS28090","PA14_69795","PA5287","QLX61_RS28045"
"NNL25_RS09685","","","4","4","1","1","5053","","","","221","281","266","NNL25_RS09685","PA14_24630","PA3051","QLX61_RS09720"
"dadA","","","4","4","1","1","1665","","","","1298","1298","1298","NNL25_RS28175","PA14_70040","PA5304","QLX61_RS28130"
"ssuE","","","4","4","1","1","5538","","","","593","593","593","NNL25_RS07640","PA14_19530","PA3446","QLX61_RS07660"
"leuE","","","4","4","1","1","2237","","","","650","650","650","NNL25_RS25355","PA14_62920","PA4757","QLX61_RS25205"
"PA14_11150","","","4","4","1","1","6207","","","","206","206","206","NNL25_RS04540","PA14_11150","PA4077","QLX61_RS04525"
"NNL25_RS06175","","","4","4","1","1","5834","","","","500","500","500","NNL25_RS06175","PA14_15840","PA3756","QLX61_RS06190"
"PA14_19520","","","4","4","1","1","5539","","","","749","749","749","NNL25_RS07635","PA14_19520","PA3447","QLX61_RS07655"
"fis","","","4","4","1","1","2130","","","","323","323","323","NNL25_RS25845","PA14_64190","PA4853","QLX61_RS25740"
"QLX61_RS23545","","","4","4","1","1","3670","","","","239","239","239","NNL25_RS23625","PA14_57820","PA4451","QLX61_RS23545"
"coxB","","","4","4","1","1","1071","","","","1124","1124","1124","NNL25_RS00555","PA14_01290","PA0105","QLX61_RS00645"
"NNL25_RS08495","","","4","4","1","1","5363","","","","314","314","314","NNL25_RS08495","PA14_21570","PA3284","QLX61_RS08535"
"PA14_24720","","","4","4","1","1","5045","","","","2225","2225","2225","NNL25_RS09720","PA14_24720","PA3044","QLX61_RS09755"
"spuG","","","4","4","1","1","6828","","","","881","881","881","NNL25_RS01480","PA14_03950","PA0303","QLX61_RS01610"
"lrp","","","4","4","1","1","1661","","","","488","488","488","NNL25_RS28195","PA14_70080","PA5308","QLX61_RS28150"
"PA14_49410","","","4","4","1","1","2460","","","","209","209","209","NNL25_RS19935","PA14_49410","PA1159","QLX61_RS20095"
"PA14_28530","","","4","4","1","1","4726","","","","899","899","899","NNL25_RS11310","PA14_28530","PA2751","QLX61_RS11360"
"hpaR","","","4","4","1","1","6264","","","","422","422","422","NNL25_RS04240","PA14_10480","PA4135","QLX61_RS04225"
"flhB","","","4","4","1","1","2906","","","","1136","1136","1136","NNL25_RS18460","PA14_45720","PA1449","QLX61_RS19110"
"group_2816","fusA","","4","4","1","1","6397","","","","2120","2120","2120","NNL25_RS03585","PA14_08820","PA4266","QLX61_RS03570"
"NNL25_RS16180","","","4","4","1","1","549","","","","623","623","623","NNL25_RS16180","PA14_40070","PA1890","QLX61_RS16410"
"purF","","","4","4","1","1","5115","","","","1505","1505","1505","NNL25_RS09400","PA14_23920","PA3108","QLX61_RS09435"
"cgtA","","","4","4","1","1","3512","","","","1220","1220","1220","NNL25_RS24225","PA14_60445","PA4566","QLX61_RS24150"
"PA3039","","","4","4","1","1","5040","","","","1208","1382","1295","NNL25_RS09745","PA14_24780","PA3039","QLX61_RS09780"
"NNL25_RS02835","","","4","4","1","1","6554","","","","158","158","158","NNL25_RS02835","PA14_07370","PA0567","QLX61_RS02955"
"mapZ","","","4","4","1","1","3468","","","","377","377","377","NNL25_RS24445","PA14_60970","PA4608","QLX61_RS24370"
"QLX61_RS09565","","","4","4","1","1","5087","","","","263","263","263","NNL25_RS09530","PA14_24245","PA3085","QLX61_RS09565"
"rpsK","","","4","4","1","1","6371","","","","389","389","389","NNL25_RS03715","PA14_09090","PA4240","QLX61_RS03700"
"rpsS","","","4","4","1","1","6390","","","","275","275","275","NNL25_RS03620","PA14_08890","PA4259","QLX61_RS03605"
"QLX61_RS05485","","","4","4","1","1","6014","","","","908","908","908","NNL25_RS05470","PA14_13560","PA3892","QLX61_RS05485"
"choW","","","4","4","1","1","1589","","","","839","839","839","NNL25_RS28565","PA14_71020","PA5377","QLX61_RS28520"
"ppyR","","","4","4","1","1","4584","","","","257","257","257","NNL25_RS11795","PA14_29650","PA2663","QLX61_RS12165"
"bqsR","","","4","4","1","1","4578","","","","671","671","671","NNL25_RS11830","PA14_29730","PA2657","QLX61_RS12200"
"PA0754","","","4","4","1","1","3331","","","","983","983","983","NNL25_RS22275","PA14_54540","PA0754","QLX61_RS22220"
"QLX61_RS09795","","","4","4","1","1","5037","","","","932","932","932","NNL25_RS09760","PA14_24820","PA3036","QLX61_RS09795"
